County,Cases,Percentage,Published_date,Source,3
Carlow,578,-1,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Cavan,2115,+9,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Clare,1395,+4,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Cork,5895,+31,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Donegal,2514,+27,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Dublin,25220,+126,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Galway,2472,+27,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Kerry,1243,+5,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Kildare,3888,+13,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Kilkenny,862,No change,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Laois,922,+6,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Leitrim,245,+3,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Limerick,2344,+27,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Longford,608,+3,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Louth,1836,+24,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Mayo,1302,+2,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Meath,3169,+25,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Monaghan,1169,+2,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Offaly,1089,+9,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Roscommon,853,+6,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Sligo,701,+7,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Tipperary,1336,+6,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Waterford,838,No change,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Westmeath,1485,+10,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Wexford,1142,+1,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Wicklow,1396,+8,,https://www.gov.ie/en/press-release/2fcbd-statement-from-the-national-public-health-emergency-team-friday-13-november/,
Carlow,579,+1,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Cavan,2106,+3,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Clare,1391,+5,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Cork,5864,+12,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Donegal,2487,+24,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Dublin,25094,+52,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Galway,2445,+11,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Kerry,1238,+17,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Kildare,3875,+10,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Kilkenny,862,+7,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
Laois,916,+5,,https://www.gov.ie/en/press-release/0ef0b-statement-from-the-national-public-health-emergency-team-thursday-12-november/,
